CODPROD,MARCA,MODELO,NUMERO_PARTE,DESCRIPCION,COSTO,PRECIO_VENTA,PRECIO_FINAL,MARGEN,UNIDAD,ISV,TIPO_PROD,FOTO,COMENTARIOS,CATEGORIA,DIM_LONGITUD,DIM_ANCHO,DIM_ALTURA,PESO,PRECIO_ESPECIAL,PRECIO_CREDITO,MONTO_PRIMA,PRECIO_VARIABLE,PRECIO_4,PRECIO_5,PRECIO_6,PROVEEDOR,COD_SUCURSAL,CANT_DISPONIBLE,UBICACION
"=""00008""",,,,KM EXTRA,0,8,9.2,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""0003""",,,,KM ADICIONAL,0,3,3.45,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0004""",,,,KM ADICIONAL,0,4,4.6,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0005""",,,,KM ADICIONAL,0,5,5.75,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0006""",,,,KM ADICIONAL,0,6,6.9,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0007""",,,,KM ADICIONAL,0,7,8.05,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0008""",,,,KM ADICIONAL,0,8,9.2,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0009""",,,,KM EXTRA,0,9,10.35,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""001""",,,,Entrega 5 km Bot,0,70,80.5,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-36193,
"=""0010""",,,,KM ADICIONAL,0,10,11.5,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0011""",,,,KM ADICIONAL,0,11,12.65,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0012""",,,,KM ADICIONAL,0,12,13.8,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0016""",,,,KM ADICIONAL,0,16,18.4,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0019""",,,,KM EXTRA,0,19,21.85,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""002""",,,,KM adicional,0,12,13.8,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-10,
"=""0020""",,,,KM EXTRA,0,20,23.0,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""0024""",,,,KM EXTRA,0,24,27.6,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""003""",,,,Entrega 5km Call Center,0,80,92.0,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1137,
"=""0030""",,,,KM ADICIONAL,0,30,34.5,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-10,
"=""0034""",,,,KM ADICIONAL,0,34,39.1,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
